pi_B,beta,scheme,lat_p99_mean,lat_p99_ci,goodput_mean,goodput_ci,eff_payload_over_tx_mean,eff_payload_over_tx_ci,retransmissions_mean,retransmissions_ci
0.06,0.2,ShieldLink Mode A,67.5520000000004,18.42824311990697,0.8699056778718708,0.005644135985659242,0.8509733984822173,0.013699834010427115,734.6,274.6495065642755
0.06,0.2,Naive Stacking (secure),71.3180000000004,18.8489567127308,0.8453851560546509,0.006058732220451149,0.8279741174421572,0.013329568226361523,734.6,274.6495065642755
0.06,0.2,ShieldLink Mode B (M=32),2490.1119999999987,115.6866318541179,0.8350001784877398,0.009956048311141196,0.8423773824857479,0.01059421981747358,1636.8,228.91121856300532
0.07,0.2,ShieldLink Mode A,83.4,10.975999999999999,0.8681323120095211,0.005835965224918244,0.8480644138026452,0.014586069268681905,794.0,295.97946955827865
0.07,0.2,Naive Stacking (secure),87.6,10.584,0.843628484972033,0.006319553464378002,0.8251437539701412,0.014191851180339155,794.0,295.97946955827865
0.07,0.2,ShieldLink Mode B (M=32),2656.229999999998,122.02595650519453,0.8247683393777029,0.007699509589129068,0.8313676444084175,0.00820406634727587,1874.6,182.37017984308727
0.08,0.2,ShieldLink Mode A,89.0,0.0,0.8661381976948398,0.00671656372835548,0.8445870061870833,0.016373410381099174,866.2,336.6760868015428
0.08,0.2,Naive Stacking (secure),93.0,0.0,0.8416231059062342,0.007238424349214099,0.8217603303441893,0.015930885776204617,866.2,336.6760868015428
0.08,0.2,ShieldLink Mode B (M=32),2742.197999999999,95.66563303284136,0.8139391784103175,0.007286303607422479,0.8198093443986151,0.007811396633891578,2132.2,178.24193015112914
0.09,0.2,ShieldLink Mode A,89.0,0.0,0.8645306499144203,0.005836423554394883,0.8421068453403262,0.014275144706693478,915.4,295.2169931694312
0.09,0.2,Naive Stacking (secure),93.0,0.0,0.8400497957359576,0.006296997423851324,0.8193472008716688,0.013889329984890961,915.4,295.2169931694312
0.09,0.2,ShieldLink Mode B (M=32),2919.8779999999983,58.164065655613136,0.799448822333584,0.007530832766547851,0.8045473551949002,0.008058407952943278,2484.0,189.15472481542722
0.1,0.2,ShieldLink Mode A,89.0,0.0,0.8635274875014775,0.004704358557787048,0.8411664610935758,0.011366505506332331,932.8,232.85212454259462
0.1,0.2,Naive Stacking (secure),93.0,0.0,0.839135967710569,0.0050522601581167855,0.818432232415371,0.011059302654809835,932.8,232.85212454259462
0.1,0.2,ShieldLink Mode B (M=32),3061.757999999999,219.48486728612136,0.7860818344464631,0.010634092536111524,0.7904761956201529,0.011215291746533847,2822.2,270.77625225266706
